latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,cluster,coordinated_flag
17.75445,99.27948,345.94,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.06,5.76,D,2026-03-29 06:52:00,0,True
17.76041,98.01349,341.92,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,311.93,6.92,D,2026-03-29 06:52:00,0,True
17.76147,98.02091,337.37,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.55,4.05,D,2026-03-29 06:52:00,0,True
17.76171,99.27909,341.92,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.44,8.45,D,2026-03-29 06:52:00,0,True
17.76201,98.02463,339.8,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.6,4.05,D,2026-03-29 06:52:00,0,True
17.76309,98.0322,352.51,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.72,11.37,D,2026-03-29 06:52:00,0,True
17.76364,98.03602,340.99,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.22,4.16,D,2026-03-29 06:52:00,0,True
17.76419,98.0398,340.81,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.25,4.16,D,2026-03-29 06:52:00,0,True
17.76532,99.2787,337.71,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.26,3.66,D,2026-03-29 06:52:00,0,True
17.76703,98.03535,346.39,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.74,4.16,D,2026-03-29 06:52:00,0,True
17.76878,98.02335,333.91,0.41,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,308.49,6.59,D,2026-03-29 06:52:00,0,True
17.77031,99.39722,332.02,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,297.36,2.56,D,2026-03-29 06:52:00,0,True
17.77172,98.01579,333.56,0.41,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.81,5.45,D,2026-03-29 06:52:00,0,True
17.77195,99.27364,336.34,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.19,3.86,D,2026-03-29 06:52:00,0,True
17.77252,99.27779,332.88,0.46,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.03,4.95,D,2026-03-29 06:52:00,0,True
