latitude,longitude,burn_count
18.0696,98.2532,3
18.0696,98.2622,3
18.0696,98.2712,3
18.0696,98.2802,7
18.0696,98.2892,6
18.0696,98.2981,2
18.0696,98.3071,1
18.0696,98.3161,1
18.0696,98.3251,2
18.0696,98.3341,2
18.0696,98.3431,2
18.0696,98.352,2
18.0696,98.361,2
18.0696,98.37,2
18.0696,98.4059,1
18.0696,98.4149,2
18.0696,98.4239,5
18.0696,98.4329,6
18.0696,98.4419,6
18.0696,98.4509,5
18.0696,98.4598,3
18.0696,98.4688,2
18.0696,98.4778,1
18.0696,98.4868,1
18.0696,98.4958,1
18.0696,98.5048,4
18.0696,98.5137,4
18.0696,98.5227,4
18.0696,98.5317,2
18.0696,98.5407,2
18.0696,98.5497,2
18.0696,98.5587,1
18.0696,98.5856,1
18.0696,98.5946,1
18.0696,98.6036,1
18.0696,98.6305,5
18.0696,98.6395,7
18.0696,98.6485,7
18.0696,98.6575,1
18.0696,98.6665,1
18.0696,98.6844,2
18.0696,98.6934,3
18.0696,98.7024,4
18.0696,98.7114,5
18.0696,98.7204,2
18.0696,98.7293,1
18.0696,98.7383,4
18.0696,98.7473,4
18.0696,98.7563,5
18.0696,98.7653,6
18.0696,98.7743,7
18.0696,98.7832,7
18.0696,98.7922,6
18.0696,98.8012,4
18.0696,98.8102,1
18.0696,98.8192,2
18.0696,98.8282,3
18.0696,98.8371,4
18.0696,98.8461,5
18.0696,98.8551,5
18.0696,98.8641,3
18.0696,98.891,1
18.0696,98.9,1
18.0696,98.909,2
18.0696,98.918,2
18.0696,98.927,3
18.0696,98.936,3
18.0696,98.9449,2
18.0696,98.9539,2
18.0696,98.9629,3
18.0696,98.9719,4
18.0696,98.9809,4
18.0696,98.9899,3
18.0696,98.9988,1
18.0696,99.0078,1
18.0696,99.0617,2
18.0696,99.0707,2
18.0696,99.0797,2
18.0696,99.0887,2
18.0696,99.0977,3
18.0696,99.1066,5
18.0696,99.1156,7
18.0696,99.1246,6
18.0696,99.1336,4
18.0696,99.1426,2
18.0696,99.1515,1
18.0696,99.1605,1
18.0696,99.1695,1
18.0696,99.2324,1
18.0696,99.2414,1
18.0696,99.2504,2
18.0696,99.2593,1
18.0696,99.2773,1
18.0696,99.2863,2
18.0696,99.2953,3
18.0696,99.3043,2
18.0696,99.3132,1
18.0696,99.3222,1
18.0696,99.3402,1
18.0696,99.3492,1
18.0696,99.3582,1
18.0696,99.3671,1
18.0696,99.3761,2
18.0696,99.3851,5
18.0696,99.3941,5
18.0696,99.4031,6
18.0696,99.4121,2
18.0696,99.421,1
18.0696,99.43,1
18.0696,99.439,1
18.0696,99.448,1
18.0696,99.4929,1
18.0696,99.5019,2
18.0786,98.1993,3
18.0786,98.2083,2
18.0786,98.2173,2
18.0786,98.2263,2
18.0786,98.2353,1
18.0786,98.2443,1
18.0786,98.2532,1
18.0786,98.2802,4
18.0786,98.2892,5
18.0786,98.2981,5
18.0786,98.3071,2
18.0786,98.3161,1
18.0786,98.3341,2
18.0786,98.3431,2
18.0786,98.352,2
18.0786,98.361,1
18.0786,98.37,1
18.0786,98.379,1
18.0786,98.4059,1
18.0786,98.4149,2
18.0786,98.4239,3
18.0786,98.4329,4
18.0786,98.4419,6
18.0786,98.4509,6
18.0786,98.4598,6
18.0786,98.4688,6
18.0786,98.4778,5
18.0786,98.4868,3
18.0786,98.4958,3
18.0786,98.5048,3
18.0786,98.5137,3
18.0786,98.5227,3
18.0786,98.5317,2
18.0786,98.5407,2
18.0786,98.5497,2
18.0786,98.5587,1
18.0786,98.5676,1
18.0786,98.5856,1
18.0786,98.5946,1
18.0786,98.6036,2
18.0786,98.6126,1
18.0786,98.6215,1
18.0786,98.6305,5
18.0786,98.6395,5
18.0786,98.6485,5
18.0786,98.6575,1
18.0786,98.6665,1
18.0786,98.6754,1
18.0786,98.6934,2
18.0786,98.7024,3
18.0786,98.7114,5
18.0786,98.7204,5
18.0786,98.7293,5
18.0786,98.7383,2
18.0786,98.7473,4
18.0786,98.7563,4
18.0786,98.7653,4
18.0786,98.7743,6
18.0786,98.7832,5
18.0786,98.7922,5
